name,age,goals,assists,minutes,market_value_in_eur,predicted_value,difference
Nazar Voloshyn,23,8,13,2487,5000000.0,30201938.326104734,25201938.326104734
Gjivai Zechiël,22,9,10,3871,10000000.0,35115390.05268933,25115390.05268933
Tawanda Maswanhise,23,19,2,2738,5000000.0,29396135.087776925,24396135.087776925
Thom van Bergen,22,10,5,3056,3000000.0,26909152.11061514,23909152.11061514
Younes Taha,23,6,10,2778,4000000.0,26624925.12585973,22624925.12585973
Kieron Bowie,23,13,4,3437,7000000.0,29494618.233222023,22494618.233222023
Baboucarr Faal,23,11,5,2552,2500000.0,24675378.04099109,22175378.04099109
Joseph Opoku,21,10,6,2459,4500000.0,25954088.34750016,21454088.34750016
Djeidi Gassama,22,8,6,3273,6000000.0,27220207.00515017,21220207.00515017
Nacho Ferri,21,11,4,2913,6000000.0,26830032.005024165,20830032.005024165
Myron van Brederode,23,9,6,2842,4500000.0,25326280.069222953,20826280.069222953
Kristian Hlynsson,22,12,4,2852,6000000.0,26658617.938519277,20658617.938519277
Gyan de Regt,23,3,8,2691,900000.0,21467639.055184327,20567639.055184327
Shunsuke Mito,23,9,7,2007,2000000.0,22497130.17971977,20497130.17971977
Başar Önal,22,9,9,2408,7000000.0,27246338.39102357,20246338.39102357
Peter Itodo,23,15,1,2134,1800000.0,22011469.96059084,20211469.96059084
Luca Stephenson,22,5,5,2723,1000000.0,20965594.79476916,19965594.79476916
Sami Ouaissa,21,8,7,3031,8000000.0,27917824.508643102,19917824.508643102
Keisuke Goto,21,11,7,2892,10000000.0,29906695.76258235,19906695.76258235
Jakob Breum,22,6,7,2654,5000000.0,23639313.90282826,18639313.90282826
